id		total_contributions		longest_streak		current_streak		followers		starred		following		
0 			340						7					7					139				856			2
1 			5						1					0					2				0			0
2 			24						2					0					0				0			0
3 			77						6					0					3				0			1
4 			194						3					0					571				27			25
5 			0						0					0					6				0			4
6 			20						2					0					0				0			0
7 			279						5					3					45				29			11
8 			26						2					0					104				29			5
9 			0						0					0					1				0			0
10 			694						6					4					112				3			0
11 			0						0					0					4				3			12
12 			0						0					0					4				0			0
13 			611						358					0					480				21			6
14 			302						5					2					12				3			0
15 			15						1					0					4				0			0
16 			3						1					0					174				1			4
17 			9						1					0					92				24			7
18 			0						0					0					0				0			3
19 			117						3					0					11				21			9
20 			919						15					0					241				88			9
21 			0						0					0					3				0			1
22 			4						2					0					1				0			0
23 			0						0					0					94				1			0
24 			13						1					0					1				0			2
25 			9						1					0					7				2			4
26 			0						0					0					3				0			0
27 			4						1					0					3				0			0
28 			10						1					0					4				0			1
29 			168						3					0					25				82			10
30 			69						2					0					56				202			29
31 			19						2					0					109				1			20
32 			192						4					0					170				53			20
33 			172						15					0					21				47			37
34 			1						1					0					4				0			0
35 			42						2					0					17				96			10
36 			204						5					0					156				89			5
37 			3						1					0					85				52			14
38 			137						4					0					160				680			208
39 			79						3					0					152				106			2
40 			47						2					0					48				52			3
41 			0						0					0					1				0			0
42 			0						0					0					8100			12			34
43 			577						8					0					363				419			148
44 			461						10					0					21				27			16
45 			14						1					0					6				0			12
46 			0						0					0					46				0			1
47 			0						0					0					88				3			1
48 			219						5					0					62				231			47
49 			220						4					0					221				119			0
50 			0						0					0					1				0			4
51 			1977					13					4					631				1300		202
52 			243						9					0					13				57			16
53 			633						7					0					1300			387			166
54 			6						2					0					114				8			129
55 			0						0					0					9				0			15
56 			2043					2					0					891				363			47
57 			0						0					0					1				0			0
58 			21						1					0					4				2			5
59 			395						4					0					224				13			0
60 			432						5					0					743				28			13
61 			0						0					0					5				0			1
62 			2						1					0					97				64			75
63 			5						1					0					6				0			0
64 			25						1					0					120				6			0
65 			4						1					0					0				0			0
66 			6						2					0					26				8			4
67 			76						5					0					5700				102			91
68 			43						2					0					1				31			0
69 			16						1					0					4				0			4
70 			0						0					0					3				5			0
71 			996						12					0					110				40			30
72 			12						2					0					10				5			4
73 			109						3					0					169				21			1
74 			220						3					0					134				21			1
75 			20						2					0					20				88			12
76 			884						7					0					5100				301			83
77 			264						3					2					41				24			69
78 			602						15					2					208				19			6
79 			0						0					0					1				0			1
80 			8						2					0					57				22			7
81 			30						3					3					117				25			7
82 			163						9					0					1100				11			7
83 			1						1					0					53				0			16
84 			0						0					0					3				3			1
85 			93						3					0					89				72			12
86 			5						1					0					142				42			10
87 			0						0					0					0				0			0
88 			506						5					0					937				614			33
89 			0						0					0					6				0			0
90 			268						25					25					9				51			2
91 			0						0					0					0				0			0
92 			16						1					0					102				38			4
93 			0						0					0					2				0			0
94 			0						0					0					1				0			3
95 			41						3					2					282				158			76
96 			27						2					0					11				1			0
97 			1						1					0					10				0			0
98 			58						4					0					28				5			2
99 			41						1					0					176				55			6
100 		0						0					0					8				0			2
101 		0						0					0					48				0			0
102 		0						0					0					4				0			1
103 		4169						12					3					2500				172			10
104 		15						3					0					39				404			24
105 		68						3					0					11				7			5
106 		75						4					0					146				127			30
107 		5						1					0					4				0			0
108 		9						1					0					4				0			0
109 		0						0					0					21				0			2
110 		209						5					0					11				3			0
111 		131						5					0					27				34			30
112 		0						0					0					2				0			2
113 		39						3					0					4				3			18
114 		0						0					0					91				0			0
115 		3						1					0					99				44			119
116 		66						5					0					20				8			1
117 		3						1					0					77				1			2
118 		270						8					0					20				1			28
119 		11						2					0					23				26			0
120 		874						12					0					9600				133			1
121 		0						0					0					0				0			0
122 		392						9					0					112				69			34
123 		44						2					0					381				120			183
124 		38						2					0					201				312			104
125 		0						0					0					43				1			2
126 		0						0					0					3				0			1
127 		834						16					0					103				38			5
128 		7						1					0					5				0			9
129 		0						0					0					2				0			0
130 		10						1					0					0				0			0
131 		0						0					0					8				0			0
132 		8						2					0					9				11			16
133 		25						2					0					152				33			4
134 		39						2					0					322				68			37
135 		40						2					0					5				1			3
136 		1026						10					0					1800				501			20
137 		1						1					0					1				0			14
138 		6						2					0					11				8			0
139 		6						2					0					2				0			0
140 		36						3					0					89				26			11
141 		22						1					0					12				2			3
142 		0						0					0					3				0			0
143 		1						1					0					6				5			2
144 		2336						33					0					265				31			2
145 		205						4					2					4				9			4
146 		900						22					2					98				172			20
147 		0						0					0					15				0			0
148 		1						1					0					0				0			0
149 		116						2					0					27				16			5
150 		246						9					0					42				43			16
151 		792						11					3					1800				45			15
152 		150						4					0					13				647			31
153 		12						1					0					28				20			12
154 		5						2					0					21				28			9
155 		68						2					0					582				821			115
156 		5						1					0					3				0			0
